event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,t2time_sec_outlier,bike_pace_s_per_km_outlier,swim_pace_s_per_100m_outlier,bike_speed_kmh_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,runtime_sec_outlier
174960,589249,47881,Lauren Steadman,Great Britain,FINISH,2.0,00:12:03,00:00:40,00:31:07,00:00:50,00:20:25,01:05:05,PTS5 Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,723.0,40.0,1867.0,50.0,1225.0,3905.0,,,,False,723.0,3905.0,3905.0,3905.0,723.0,0.0,Sprint,93.53169469598964,92.42574257425743,245.0,38.95018746652383,24.20251693626138,1:05:05,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589249,111973,Kamylle Frenette,Canada,FINISH,3.0,00:12:01,00:00:36,00:33:08,00:00:43,00:20:12,01:06:40,PTS5 Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,721.0,36.0,1988.0,43.0,1212.0,4000.0,,,,False,721.0,4000.0,4000.0,4000.0,721.0,0.0,Sprint,93.27296248382923,98.41584158415841,242.4,36.579476861167,22.7294261167002,1:06:40,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
173647,582583,111973,Kamylle Frenette,Canada,FINISH,1.0,00:11:43,00:02:12,00:34:11,00:01:04,00:19:57,01:09:04,PTS5 Women,sprint,2023 World Triathlon Para Cup Long Beach,2023-07-14,World Para Cup,750.0,20000.0,5000.0,703.0,132.0,2051.0,64.0,1197.0,4144.0,,,,False,703.0,4144.0,4147.0,4147.0,703.0,-3.0,Sprint,93.73333333333333,102.55,239.4,35.104826913700634,21.813121404193076,1:09:04,2023 World Triathlon Para Cup Long Beach,False,False,False,False,False,False,False,False,False
171976,582602,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:02,00:01:23,n/a,n/a,00:19:26,00:31:50,PTS5 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,662.0,83.0,,,1166.0,1910.0,,,,False,662.0,1910.0,,,662.0,,Sprint,88.26666666666667,,233.2,,,31:50,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582602,47881,Lauren Steadman,Great Britain,FINISH,3.0,00:11:05,00:01:28,n/a,n/a,00:19:29,00:32:01,PTS5 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,665.0,88.0,,,1169.0,1921.0,,,,False,665.0,1921.0,,,665.0,,Sprint,88.66666666666667,,233.8,,,32:01,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582602,85170,Grace Norman,United States,FINISH,1.0,00:10:47,00:01:41,n/a,n/a,00:18:08,00:30:35,PTS5 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,647.0,101.0,,,1088.0,1835.0,,,,False,647.0,1835.0,,,647.0,,Sprint,86.26666666666667,,217.6,,,30:35,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
172816,582643,85170,Grace Norman,United States,FINISH,1.0,00:08:40,00:01:02,00:30:22,00:00:49,00:18:33,00:59:26,PTS5 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,520.0,62.0,1822.0,49.0,1113.0,3566.0,,,,False,520.0,3566.0,3566.0,3566.0,520.0,0.0,Sprint,,98.48648648648648,,36.553238199780466,22.71312217343579,59:26,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582643,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:09:32,00:00:31,00:31:46,00:00:44,00:20:17,01:02:50,PTS5 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,572.0,31.0,1906.0,44.0,1217.0,3770.0,,,,False,572.0,3770.0,3770.0,3770.0,572.0,0.0,Sprint,,103.02702702702703,,34.94228751311647,21.712124134312692,1:02:50,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582643,111973,Kamylle Frenette,Canada,FINISH,3.0,00:09:32,00:00:38,00:32:57,00:00:36,00:19:39,01:03:21,PTS5 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,572.0,38.0,1977.0,36.0,1179.0,3801.0,,,,False,572.0,3801.0,3802.0,3802.0,572.0,-1.0,Sprint,,106.86486486486487,,33.68740515933232,20.932376631259483,1:03:21,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
173746,582726,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:02,00:01:08,00:32:05,00:01:12,00:19:14,01:04:39,PTS5 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,662.0,68.0,1925.0,72.0,1154.0,3879.0,,,,False,662.0,3879.0,3881.0,3881.0,662.0,-2.0,Sprint,88.26666666666667,98.21428571428571,230.8,36.654545454545456,22.776071563636364,1:04:39,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582726,85170,Grace Norman,United States,FINISH,1.0,00:11:04,00:01:20,00:31:45,00:01:00,00:18:22,01:03:28,PTS5 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,664.0,80.0,1905.0,60.0,1102.0,3808.0,,,,False,664.0,3808.0,3811.0,3811.0,664.0,-3.0,Sprint,88.53333333333333,97.1938775510204,220.4,37.03937007874016,23.015190425196852,1:03:28,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582726,111973,Kamylle Frenette,Canada,FINISH,4.0,00:11:09,00:01:07,00:32:19,00:01:12,00:21:31,01:07:16,PTS5 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,669.0,67.0,1939.0,72.0,1291.0,4036.0,,,,False,669.0,4036.0,4038.0,4038.0,669.0,-2.0,Sprint,89.2,98.92857142857142,258.2,36.3898916967509,22.611623393501805,1:07:16,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
