event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,156380,,8,30,-22,3345.2993176698324,0.0,0.23130297036831232,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,63564,,4,43,-39,3276.914096618976,3226.0,0.13674976307934059,67,0.6
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,74402,,13,8,5,3688.560228701731,3496.0,0.3515617394169074,39,0.7
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,189514,,28,9,19,3757.7785458934295,3498.0,0.7087114275399784,39,0.7
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,117135,,11,7,4,3748.1770202754005,3487.0,0.3568679700213977,39,0.7
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,106305,,8,16,-8,3711.4075221934477,3586.0,0.2965844637666333,39,0.7
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,123462,,11,27,-16,3594.8801831957207,3639.0,0.3455163846405914,39,0.7
194203,674166,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,96687,,4,13,-9,3710.5172905244262,3573.0,0.19727518225576074,39,0.7
194205,674175,2025 World Triathlon Cup Rome,2,sprint,missed,63428,,14,4,10,3107.6652645671434,3247.0,0.2790032082429572,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,missed,160772,,27,6,21,3147.393398349178,3253.0,0.47615521797383403,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,missed,103530,,11,9,2,3136.8100316978894,3256.0,0.2373354939654588,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,missed,162136,,18,2,16,3091.6089064224916,3245.0,0.3670167501063962,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,missed,49084,,24,10,14,3144.78367722227,3260.0,0.48845956658809603,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,false_alarm,96040,,2,13,-11,3129.2293932829025,3271.0,0.21682814269695214,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,false_alarm,33705,,7,11,-4,3111.9833591161455,3266.0,0.2997347779434257,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,false_alarm,73078,,2,44,-42,3083.734336120333,3387.0,0.1594957132722111,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,false_alarm,158362,,10,45,-35,3088.2707298172722,3407.0,0.23754037211151588,58,0.5
194205,674175,2025 World Triathlon Cup Rome,2,sprint,false_alarm,128063,,1,26,-25,3088.777201470454,3313.0,0.18552898966689407,58,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,missed,124901,,19,9,10,3534.5403328330713,3645.0,0.4670373124475783,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,missed,166282,,31,6,25,3541.9890008052867,3639.0,0.6996309444471966,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,missed,58449,,12,7,5,3414.5140883165554,3640.0,0.3351502406096682,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,missed,122267,,14,5,9,3530.0145719396833,3629.0,0.30499269681856306,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,missed,161245,,20,1,19,3543.07940991527,3613.0,0.5173017435725565,47,0.5
