feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_swim_exit_pct,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_swim_exit_pct,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_swim_exit_pct,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_swim_exit_pct,super_sprint_total,mean_pct,max_pct
seed_total_gap_to_best,1.05475763016158,0.38762088556444296,0.7298031228784794,0.32285471537807986,0.3774232286841654,0.3798342541436464,0.572419774501301,2.65017667844523,1.9554589896795218,3.159645232815964,1.0746606334841629,3.950617283950617,1.6233766233766231,1.5120967741935485,1.6158648549394052,1.1034732272069465,1.400405380504883,1.7219730941704037,1.6289084441115895,1.6319942611190816,2.288135593220339,0.9931245225362872,1.476510067114094,1.2646281615704038,2.3675762439807384,1.3377278014734393,1.7065479502875163,1.6552280985062575,2.5613275613275612,1.656095842142354,1.792524790236461,2.1317091739626948,2.1691973969631237,2.5265957446808507,2.1021021021021022,1.6252113182689683,3.950617283950617
ema_swim_split_pct_5,0.8864452423698383,0.3450512941480939,0.6788866259334692,0.3058623619371283,0.8063132612798078,0.3453038674033149,0.7285342584562012,3.9458186101295647,1.249321021184139,3.7694013303769403,1.6402714932126699,1.2345679012345678,3.67965367965368,1.1088709677419355,1.432243848696291,0.9044862518089725,1.0687304219642528,1.1838565022421526,1.7038007863695939,2.1341463414634148,1.5254237288135595,1.566080977845684,0.4793863854266539,1.3212533031332578,1.2640449438202246,1.3377278014734393,1.9847894639213504,0.8881711748082357,2.7417027417027415,1.4094432699083863,1.8306636155606408,2.360106585458698,1.5907447577729574,2.6595744680851063,2.3273273273273274,1.5553716175046939,3.9458186101295647
ema_finish_pct_sprint,0.9986535008976661,0.4054319644288173,1.4256619144602851,0.44180118946474084,0.3602676273803397,0.4316298342541437,0.7805724197745013,0.9422850412249705,0.8690928843020097,0.720620842572062,0.7918552036199095,0.30864197530864196,2.380952380952381,1.7137096774193548,0.8630187293426368,0.7054992764109985,0.7002026902524415,0.8251121076233183,0.7489234225800412,1.3450502152080344,1.1016949152542372,1.413292589763178,1.4189837008628956,1.1702529256323142,1.4446227929373996,2.481582008530438,2.337228714524207,1.9378280177634235,1.948051948051948,2.9245947850599014,4.004576659038902,3.46402740768938,4.0491684743311644,2.559840425531915,3.978978978978979,1.5426773497550736,4.0491684743311644
avg_swim_gap_leader,0.5498204667863554,0.6702837176270728,0.7637474541751528,0.356839422259983,0.8749356664951106,0.2762430939226519,0.7111882046834346,1.0011778563015312,1.9554589896795218,1.0532150776053215,1.9796380090497736,0.49382716049382713,1.6774891774891776,4.737903225806452,1.2118986412045538,1.0672937771345874,1.2529942878201585,0.7174887892376681,0.8987081070960493,1.6140602582496413,2.2457627118644066,1.2796027501909855,0.9012464046021093,0.9626274065685164,1.063402889245586,1.1050794881737107,2.2630309775551845,1.4129995962858295,3.1385281385281383,2.466525722339676,3.1655225019069415,1.865245527217358,1.8799710773680405,2.892287234042553,3.453453453453453,1.5416999217845861,4.737903225806452
p90_swim_gap_leader,0.9649910233393177,0.5308664489141165,0.7807196198234895,0.44180118946474084,0.9778692743180649,0.5179558011049723,0.4163052905464007,3.0035335689045937,1.520912547528517,0.9977827050997782,1.8665158371040724,0.8641975308641975,2.0562770562770565,1.411290322580645,1.6525890561880279,1.1034732272069465,1.3819789939192924,1.399103139013453,1.5165699307245835,1.5781922525107603,1.0169491525423728,1.9289533995416348,0.9395973154362416,1.0758776896942241,1.2239165329052968,1.3765025203567274,1.632350213318494,1.4937424303593057,2.886002886002886,1.3037350246652573,2.9748283752860414,2.5504377617053673,1.8076644974692697,2.127659574468085,1.5015015015015014,1.4520755340195923,3.0035335689045937
ema_swim_behind_sec_12,0.9649910233393177,0.42409785773203523,0.45824847250509165,0.3738317757009346,0.7548464573683308,0.31077348066298344,0.797918473547268,2.65017667844523,0.8690928843020097,1.8292682926829267,1.0180995475113122,1.1111111111111112,2.218614718614719,2.1169354838709675,1.6342269555637163,0.9044862518089725,1.3451262207481112,0.8071748878923767,1.1046620483055607,1.488522238163558,0.9322033898305085,1.566080977845684,1.2655800575263663,1.0192525481313703,1.2038523274478332,1.589763474214812,1.8734928584678168,1.7763423496164714,2.236652236652237,1.0570824524312896,2.593440122044241,2.436239055957366,1.735357917570499,2.393617021276596,2.1021021021021022,1.398950392885478,2.65017667844523
min_swim_gap_sec_24m,0.5947037701974865,0.3851344870809185,0.5770536320434487,0.3908241291418862,0.7033796534568536,0.20718232044198895,0.8326105810928014,1.8256772673733805,1.249321021184139,1.164079822616408,1.244343891402715,1.4197530864197532,1.461038961038961,1.310483870967742,2.258538376790305,0.6693198263386397,1.3635526073337019,0.9865470852017937,1.4978468451600824,1.058106169296987,1.3559322033898304,1.145912910618793,0.9971236816874401,0.8305020762551907,1.5048154093097914,1.7642497091896086,0.9089222778705249,1.6955995155429955,2.4891774891774894,0.8809020436927414,2.402745995423341,2.0936429387133613,2.0607375271149677,2.7260638297872344,1.7267267267267266,1.3080729068308579,2.7260638297872344
std_swim_gap_sec_24m,1.0435368043087971,0.5962210803151258,0.8146639511201629,0.356839422259983,0.8920912677989364,0.4316298342541437,0.7111882046834346,1.6489988221436984,1.3579576317218904,1.385809312638581,0.5090497737556561,1.1111111111111112,1.83982683982684,0.0,1.524054351817848,1.2301013024602026,1.3451262207481112,1.2197309417040358,1.7599700430630967,2.4210903873744622,0.38135593220338987,1.3750954927425516,1.0546500479386385,1.3967534918837297,1.6051364365971106,2.055060100814269,1.6508996475607491,0.7670569236980218,1.8037518037518037,2.5017618040873857,1.0678871090770405,1.865245527217358,2.1330441070137383,2.859042553191489,0.0,1.277592522310954,2.859042553191489
bike_pack_rate,1.200628366247756,0.48363712461920494,0.7467752885268161,0.3058623619371283,0.27448962086121115,0.2935082872928177,0.4509973980919341,0.7656065959952886,2.009777294948398,2.383592017738359,0.7918552036199095,1.4197530864197532,1.5151515151515151,1.5120967741935485,0.7895703268453911,0.6512301013024602,1.0503040353786623,1.0224215246636772,1.3855083317730763,1.5064562410329985,2.415254237288136,0.5538579067990833,0.7861936720997122,0.9248773121932804,0.9028892455858748,1.182628925940287,1.7065479502875163,2.1800565199838515,1.2265512265512266,2.1141649048625792,1.2585812356979404,2.0555767034640273,1.3376717281272594,1.8949468085106385,1.5015015015015014,1.217157753586652,2.415254237288136
ema_finish_pct_tier34,1.425044883303411,0.861959638883177,0.8486082824168364,0.2548853016142736,0.2401784182535598,0.25897790055248615,0.5030355594102341,1.5901060070671376,0.7604562737642585,2.0509977827051,1.8665158371040724,1.4197530864197532,2.002164502164502,0.9072580645161291,0.6793977230995226,0.6693198263386397,0.9397457158651189,0.968609865470852,1.1046620483055607,1.5064562410329985,0.1694915254237288,1.4514896867838043,0.977948226270374,1.1702529256323142,1.0232744783306582,1.221403644823575,1.5210536078649601,1.0496568429551878,1.8037518037518037,1.4799154334038054,0.5339435545385203,2.1317091739626948,1.4461315979754157,1.8284574468085106,0.0,1.1047603687660854,2.1317091739626948
std_run_sec_24m,1.200628366247756,0.5154652138164033,1.120162932790224,0.7646559048428208,0.3088008234688626,0.6560773480662984,1.3183000867302688,1.5312131919905771,0.32590983161325365,1.662971175166297,1.0746606334841629,0.6790123456790124,0.7034632034632035,1.5120967741935485,1.138450238707308,0.7416787264833574,1.0687304219642528,1.1659192825112108,1.8161392997566002,1.7754662840746054,2.0338983050847457,1.2032085561497325,0.5944391179290508,1.1136277840694602,1.6051364365971106,2.404032570763862,2.2630309775551845,2.583770690351231,0.4329004329004329,0.6694855532064834,0.19069412662090007,0.11419870574800152,0.4699927693420101,0.39893617021276595,0.0,1.0616329794737427,2.583770690351231
std_t1t2_sec_24m,1.3240574506283662,0.5438558844677304,0.8995247793618466,0.5437553101104503,0.2230228169497341,0.5006906077348067,0.6591500433651344,0.8244994110718492,0.8147745790331342,0.5543237250554324,0.5656108597285068,0.6790123456790124,1.461038961038961,1.6129032258064515,1.2669849430774882,1.3748191027496381,1.4372581536760642,1.7937219730941705,1.6101853585470887,1.5064562410329985,1.694915254237288,1.2987012987012987,1.5532118887823587,1.2835032087580218,1.5850722311396468,1.8999612252811167,2.392877017250974,1.2515139281388776,0.3246753246753247,0.5285412262156448,0.5720823798627002,0.49486105824133997,0.32537960954446854,0.2992021276595745,0.6006006006006006,1.0371641186085172,2.392877017250974
ema_finish_pct_standard,1.2455116696588868,0.5365795076414911,1.120162932790224,0.3058623619371283,0.2401784182535598,0.36256906077348067,0.6418039895923677,0.47114252061248524,0.5431830526887561,0.4434589800443459,1.1877828054298643,0.5555555555555556,1.1363636363636365,0.5040322580645161,0.7161219243481455,0.9587554269175109,0.8844665561083471,0.7892376681614349,1.4229545029020783,2.4210903873744622,0.6779661016949152,0.5920550038197097,0.8437200383509109,0.7738769346923368,0.7423756019261638,0.9693679720822024,0.7790762381747357,1.2515139281388776,1.3708513708513708,3.241719520789288,1.1060259344012204,2.322040350209364,1.7715112075198842,1.6289893617021278,1.5015015015015014,1.0302686937449392,3.241719520789288
ema_run_split_pct_tier12_5,1.2118491921005385,0.6219056534840469,1.0183299389002036,0.3738317757009346,0.3602676273803397,0.4488950276243094,0.4163052905464007,0.5889281507656066,1.4122759369907658,0.8869179600886918,1.583710407239819,0.8641975308641975,1.2445887445887447,0.3024193548387097,0.3672420124862284,0.41606367583212733,0.6264971439100793,0.6098654708520179,1.1233851338700618,1.362984218077475,0.8898305084745763,1.050420168067227,0.8053691275167786,0.9060022650056626,0.6219903691813804,1.4540519581233036,1.4654053051381934,1.0900282599919258,1.5512265512265513,3.8054968287526427,0.38138825324180015,0.6851922344880091,1.4461315979754157,1.6954787234042552,1.6516516516516515,1.0097178299537335,3.8054968287526427
std_swim_sec_24m,1.2230700179533214,0.6059891641636501,1.0862186014935504,0.7646559048428208,0.5661348430262481,0.5870165745856354,0.6938421509106678,0.88339222614841,0.6518196632265073,0.720620842572062,1.0180995475113122,0.12345679012345678,1.2987012987012987,0.8064516129032258,0.9731913330885054,1.0672937771345874,1.6030956329463792,1.452914798206278,1.7225238719340947,2.0624103299856524,1.059322033898305,1.413292589763178,1.0738255033557047,1.698754246885617,1.5650080256821832,1.6479255525397443,1.8363939899833055,1.6955995155429955,0.18037518037518038,0.3171247357293869,0.6483600305110603,0.7613247049866768,0.28922631959508316,0.5319148936170213,0.45045045045045046,1.0022799072678157,2.0624103299856524
