==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
ema_swim_to_t1_pos_change_5                2.83%
               ema_t1_sec_5                2.83%
        ema_run_split_pct_5                2.77%
             ema_bike_sec_5                2.55%
             bike_pack_rate                2.38%
            ema_total_sec_5                2.22%
      ema_swim_behind_sec_5                2.16%
      ema_finish_pct_tier34                2.05%
            swim_form_trend                1.94%
     ema_swim_behind_sec_12                1.83%
               ema_t2_sec_5                1.72%
          ema_t1_rank_pct_5                1.72%
          ema_t2_rank_pct_5                1.72%
            std_run_sec_24m                1.66%
                 form_trend                1.66%
             ema_t1t2_sec_5                1.61%
              ema_run_sec_5                1.55%
          ema_finish_pct_12                1.44%
       std_swim_gap_sec_24m                1.39%
           ema_finish_pct_5                1.22%
           ema_finish_pct_3                1.22%
       min_swim_gap_sec_24m                1.16%
ema_swim_split_pct_tier12_5                1.16%
        avg_swim_gap_leader                1.05%
ema_bike_split_pct_tier12_5                1.05%
        p90_swim_gap_leader                1.00%
 ema_run_split_pct_tier12_5                0.89%
            std_run_pct_24m                0.78%
      ema_finish_pct_sprint                0.72%

--- middle_distance_t2  (top 40) ---
                    feature middle_distance_t2
     field_depth_top10_mean             14.42%
       days_since_last_race              6.17%
       ema_bike_split_pct_5              4.02%
        avg_bike_gap_leader              3.68%
        ema_run_split_pct_5              3.05%
             ema_bike_sec_5              3.05%
          ema_t2_rank_pct_5              3.00%
ema_bike_to_t2_pos_change_5              2.94%
             ema_t1t2_sec_5              2.77%
      ema_swim_split_pct_12              2.60%
               ema_t2_sec_5              2.60%
            n_races_at_tier              2.49%
          ema_t1_rank_pct_5              2.38%
ema_swim_to_t1_pos_change_5              2.21%
            swim_form_trend              2.09%
              ema_run_sec_5              2.09%
        avg_swim_gap_leader              1.98%
               ema_t1_sec_5              1.98%
          ema_finish_pct_12              1.87%
        p90_swim_gap_leader              1.87%
      ema_finish_pct_tier34              1.87%
             ema_swim_sec_5              1.81%
           ema_perf_ratio_5              1.64%
       ema_swim_split_pct_5              1.64%
 ema_run_split_pct_tier12_5              1.58%
ema_swim_split_pct_tier12_5              1.58%
            ema_total_sec_5              1.47%
      ema_swim_behind_sec_5              1.30%
             n_swim_results              1.24%
       min_swim_gap_sec_24m              1.24%
    ema_finish_pct_standard              1.19%
            std_run_sec_24m              1.07%
     seed_total_gap_to_best              1.07%
           std_swim_sec_24m              1.02%
     ema_swim_behind_sec_12              1.02%
           ema_finish_pct_3              0.96%
          athlete_t1t2_rate              0.96%
            std_run_pct_24m              0.90%
           ema_finish_pct_5              0.85%
      ema_finish_pct_sprint              0.79%

--- middle_distance_run  (top 40) ---
                    feature middle_distance_run
     field_depth_top10_mean               6.85%
       days_since_last_race               6.48%
ema_bike_split_pct_tier12_5               5.49%
              ema_run_sec_5               4.51%
          ema_t2_rank_pct_5               4.07%
     seed_total_gap_to_best               3.95%
               ema_t2_sec_5               3.70%
        ema_run_split_pct_5               3.70%
          ema_t1_rank_pct_5               3.46%
        avg_bike_gap_leader               3.02%
ema_bike_to_t2_pos_change_5               3.02%
           ema_perf_ratio_5               2.84%
ema_swim_to_t1_pos_change_5               2.59%
      ema_swim_split_pct_12               2.35%
          ema_finish_pct_12               2.28%
       ema_bike_split_pct_5               2.16%
             ema_swim_sec_5               1.98%
               ema_t1_sec_5               1.73%
            swim_form_trend               1.73%
            ema_total_sec_5               1.73%
      ema_swim_behind_sec_5               1.67%
             ema_bike_sec_5               1.60%
ema_swim_split_pct_tier12_5               1.54%
             bike_pack_rate               1.42%
      ema_finish_pct_tier34               1.42%
          athlete_t1t2_rate               1.42%
       min_swim_gap_sec_24m               1.42%
           ema_finish_pct_3               1.36%
             n_swim_results               1.30%
             ema_t1t2_sec_5               1.30%
       ema_swim_split_pct_5               1.23%
                 form_trend               1.11%
     ema_swim_behind_sec_12               1.11%
       std_swim_gap_sec_24m               1.11%
            n_races_at_tier               1.11%
       ema_finish_pct_tier1               0.99%
           std_bike_sec_24m               0.93%
        p90_swim_gap_leader               0.86%
 ema_run_split_pct_tier12_5               0.86%
              form_momentum               0.80%

--- middle_distance_swim_exit_pct  (top 40) ---
                    feature middle_distance_swim_exit_pct
     field_depth_top10_mean                         6.33%
               ema_t2_sec_5                         4.06%
       ema_swim_split_pct_5                         3.68%
        ema_run_split_pct_5                         3.63%
ema_swim_to_t1_pos_change_5                         3.41%
      ema_swim_split_pct_12                         3.30%
            swim_form_trend                         3.25%
             ema_swim_sec_5                         3.19%
               ema_t1_sec_5                         2.98%
      ema_swim_behind_sec_5                         2.81%
       ema_bike_split_pct_5                         2.60%
              ema_run_sec_5                         2.54%
          ema_t2_rank_pct_5                         2.38%
      ema_finish_pct_sprint                         2.38%
       days_since_last_race                         2.33%
          ema_t1_rank_pct_5                         2.33%
     ema_swim_behind_sec_12                         2.22%
