feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_total,mean_pct,max_pct
std_run_sec_24m,1.7370003340385256,0.6629358184192344,1.1478730587440917,0.7280291211648465,0.39655172413793105,0.6518010291595198,1.2597586941092973,0.5851375073142189,0.27824151363383415,2.029312288613303,0.5202312138728323,1.0265700483091789,0.8426966292134831,0.9356081452944414,0.8109104312569112,1.4484881405033496,1.2285456187895212,2.0614621110899027,1.8202502844141069,1.2412412412412412,0.6817296455005843,1.111529766390354,1.6148089799133518,2.7152988855116513,2.834589163975601,0.5994358251057829,0.5265005265005265,0.6090597639893415,0.038910505836575876,0.7122507122507122,0.06188118811881188,1.061891610206873,2.834589163975601
ema_finish_pct_3,0.8239616969157109,0.63784794527484,1.0297096556380825,0.39868261397122556,0.1724137931034483,0.4802744425385935,0.7097232079488999,1.1117612638970158,0.6121313299944352,1.1837655016910935,1.6184971098265895,1.570048309178744,0.8426966292134831,0.733810310034856,0.6450423884998157,0.8509867825457179,0.6323396567299007,1.4506585226188204,1.441031475161168,0.7807807807807807,0.8180755746007012,0.8854559155990958,0.866482867270579,1.3171225937183384,1.4352350197344816,1.0930888575458393,1.1583011583011582,2.169775409212029,1.906614785992218,0.9615384615384616,2.0420792079207923,1.044513976354739,2.169775409212029
std_t1t2_sec_24m,1.514307983520766,0.7881140878703011,1.299797434166104,0.41601664066562666,0.20689655172413793,0.6689536878216124,0.8516678495386799,0.7606787595084844,0.333889816360601,0.8455467869222096,0.8670520231213872,0.30193236714975846,1.0299625468164793,1.3392038158136121,1.4375230372281607,1.8287162773854788,1.6079494128274616,1.6797098682954763,1.8960940462646947,1.0610610610610611,1.5192832099727307,1.450640542577242,1.5754233950374164,1.6210739614994936,1.4352350197344816,0.6699576868829337,0.31590031590031586,0.41872858774267224,0.8560311284046693,0.6054131054131053,0.9282178217821782,1.0364831880325591,1.8960940462646947
ema_finish_pct_standard,1.4475002783654383,0.6494216300366945,1.299797434166104,0.39868261397122556,0.2413793103448276,0.39451114922813035,0.7629524485450674,0.5851375073142189,1.05731775180857,0.2254791431792559,0.7514450867052023,0.24154589371980675,0.5617977528089888,0.5870482480278848,1.0689273866568376,0.9234111895708854,0.8672086720867209,1.3933956861996564,1.023890784982935,0.8008008008008007,0.7596416049863653,1.0361718161266014,0.9058684521465145,0.9726443768996961,1.2199497667743093,1.8688293370944993,3.896103896103896,1.3703844689760183,1.556420233463035,1.673789173789174,1.547029702970297,1.0351123741241823,3.896103896103896
std_swim_sec_24m,1.625654158779646,0.6793061401664974,1.3335584064821067,0.8667013347200554,0.43103448275862066,0.5145797598627788,1.0113555713271822,0.9362200117027502,0.8347245409015025,0.8455467869222096,0.7514450867052023,0.36231884057971014,0.6554307116104869,1.0640249495505412,1.2716549944710653,1.6295491580662684,1.3730803974706414,1.6797098682954763,1.3272658323852862,1.2612612612612613,1.6166731593299573,1.5259984928409946,1.870815281606932,1.7426545086119554,1.7581628991747398,0.07052186177715092,0.2106002106002106,0.723258469737343,0.622568093385214,0.5341880341880342,0.8663366336633664,1.032135481901135,1.870815281606932
std_bike_pct_24m,0.746019374234495,0.6008026359206626,1.2491559756921,0.5893569076096377,0.25862068965517243,0.44596912521440824,0.603264726756565,1.2873025160912814,3.2832498608792435,1.2965050732807215,1.560693641618497,1.328502415458937,0.9363295880149813,0.8622271142909558,1.8245484703280503,1.1768966141589716,1.1382113821138211,0.7444168734491315,0.6825938566552902,1.001001001001001,1.9283209972730815,1.281085154483798,1.988972036234738,1.7426545086119554,1.4711158952278436,0.21156558533145275,0.1404001404001404,0.49486105824133997,0.4669260700389105,0.07122507122507123,0.06188118811881188,1.0153121144390667,3.2832498608792435
ema_swim_split_pct_tier12_5,1.2025386927959025,0.5491460402452013,1.0465901417960837,0.3813485872768244,0.4827586206896552,0.2915951972555746,0.40809084457061745,0.8777062609713282,0.8903728436282694,1.0146561443066515,1.8497109826589597,1.9927536231884055,0.7490636704119851,0.6604292790313704,0.7371913011426465,0.6156074597139236,0.6865401987353207,0.9734682191257874,0.37921880925293894,1.4014014014014013,0.7401636151149201,1.2622456669178599,1.595116187475384,1.1144883485309016,1.4711158952278436,1.4104372355430184,1.6497016497016497,0.5709935287400076,0.5447470817120622,1.3176638176638178,0.9900990099009901,0.9631277533783001,1.9927536231884055
form_trend,1.3250194855806703,0.39566371499544295,1.063470627954085,0.34668053388802217,0.22413793103448273,0.39451114922813035,0.6564939673527325,0.7606787595084844,1.725097384529772,1.4092446448703495,1.4450867052023122,0.9057971014492754,0.5617977528089888,0.6971197945331132,0.8661997788426097,1.0139416983523446,0.975609756097561,1.431570910479099,0.7584376185058779,1.1411411411411412,0.8180755746007012,1.1680482290881689,1.1027963765261914,2.026342451874367,1.3993541442411195,0.5289139633286318,1.4040014040014042,0.41872858774267224,0.8949416342412451,1.0683760683760684,0.9282178217821782,0.9630805391018465,2.026342451874367
std_total_sec_24m,1.625654158779646,0.6441947686091785,0.9453072248480756,0.62402496099844,0.5862068965517242,0.8576329331046313,1.0823278921220723,0.8191925102399065,0.38953811908736785,0.9019165727170236,0.6358381502890174,0.4227053140096618,1.4044943820224718,0.7154650522839846,1.1057869517139698,1.5028064457722252,1.2646793134598013,1.546096583317427,1.3651877133105803,1.2012012012012012,1.1492014024152708,1.2622456669178599,1.2209531311539976,1.6210739614994936,1.4352350197344816,0.5994358251057829,0.9828009828009828,0.6471259992386753,0.4669260700389105,0.3561253561253561,0.24752475247524752,0.9557711390949826,1.625654158779646
n_matched_races,1.0577886649593586,0.7386174619694004,0.9790681971640782,0.3293465071936211,0.27586206896551724,0.2058319039451115,0.8161816891412349,0.11702750146284377,0.22259321090706735,0.2818489289740699,0.05780346820809249,0.12077294685990338,0.5617977528089888,0.5320124747752706,0.7371913011426465,1.0320478001086366,0.5781391147244807,1.2216071769421644,5.5745164960182025,0.5005005005005005,0.4090377873003506,0.5086661642803316,1.0043324143363528,0.9726443768996961,4.198062432723358,0.0,0.0351000351000351,0.0,0.0,0.0,5.631188118811881,0.9257931127813933,5.631188118811881
h2h_avg_position_gap,3.139962142300412,20.23218472273481,1.6205266711681297,0.93603744149766,0.6206896551724138,0.9777015437392795,0.9758694109297373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9194506963723368,20.23218472273481
n_races_at_tier,0.6903462866050551,0.8219775338053616,0.4726536124240378,0.17334026694401108,0.05172413793103448,0.18867924528301888,0.23066004258339248,3.159742539496782,3.1719532554257093,2.7621195039458852,1.907514450867052,1.328502415458937,0.2808988764044944,0.7154650522839846,0.9583486914854404,1.3398515299655984,1.084010840108401,0.9734682191257874,0.9101251422070534,0.42042042042042044,0.7596416049863653,0.9231348907309721,1.0831035840882237,0.6484295845997973,0.6099748833871547,0.2468265162200282,0.3861003861003861,1.218119527978683,0.19455252918287938,0.49857549857549854,0.18564356435643564,0.9159969236444477,3.1719532554257093
std_bike_sec_24m,1.2359425453735664,0.5954919554655685,1.0465901417960837,0.5893569076096377,0.4655172413793103,0.5488850771869639,0.674237047551455,0.4681100058513751,0.8903728436282694,0.6764374295377678,0.23121387283236997,0.966183574879227,0.9363295880149813,1.1374059805540266,1.0320678215997052,1.2131088176715554,1.4814814814814816,1.431570910479099,1.6306408797876375,1.0810810810810811,1.1102454226723801,1.375282592313489,1.2800315084679008,1.5805471124620063,1.686401148188016,0.21156558533145275,0.7371007371007371,0.5329272934906737,0.3501945525291829,0.5698005698005698,0.3712871287128713,0.9076583501558206,1.686401148188016
wetsuit,0.0,0.2725837617675407,0.08440243079000675,0.24267637372161555,0.6724137931034483,0.37735849056603776,0.14194464158977999,0.0,0.0,0.0,0.0,0.0,0.9363295880149813,2.2564667033571824,3.0962034647991152,1.539018649284809,1.842818428184282,0.7635044855888529,1.7444065225635192,1.1011011011011012,1.460849240358395,1.0738507912584778,0.728633320204805,0.4052684903748734,1.2199497667743093,1.4104372355430184,1.9305019305019304,0.07613247049866768,1.0116731517509727,0.641025641025641,2.2896039603960396,0.8812630462296581,3.0962034647991152
h2h_win_rate,3.20676984745574,16.97707837467533,2.633355840648211,1.1960478419136766,0.6206896551724138,1.0463121783876501,1.1533002129169623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8655985145538705,16.97707837467533
std_run_pct_24m,0.857365549493375,0.7343628546956635,1.4517218095881161,0.6933610677760443,0.2931034482758621,0.411663807890223,0.6919801277501774,0.5851375073142189,1.001669449081803,0.9582863585118376,1.907514450867052,0.785024154589372,1.4044943820224718,0.6053935057787562,0.5344636933284188,0.5975013579576317,0.5058717253839204,1.0498186676846726,0.5688282138794084,1.3013013013013013,1.3245033112582782,1.2245666917859834,1.1618747538400946,1.458966565349544,1.0405453893074992,0.0,0.1053001053001053,0.5329272934906737,0.3501945525291829,0.641025641025641,1.051980198019802,0.833249933389585,1.907514450867052
