event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,swimtime_sec_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,bike_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier
184628,560528,56517,Martin Schulz,Germany,FINISH,2.0,00:10:39,00:01:09,00:29:43,00:00:50,00:16:54,00:59:13,PTS5 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,639.0,69.0,1783.0,50.0,1014.0,3553.0,,,,False,639.0,3553.0,3555.0,3555.0,639.0,-2.0,Sprint,85.2,89.14108589141087,202.8,40.385417835109365,25.09432746561974,59:13,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560528,96432,Bence Mocsari,Hungary,FINISH,11.0,00:10:49,00:01:12,00:32:04,00:00:51,00:20:02,01:04:56,PTS5 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,649.0,72.0,1924.0,51.0,1202.0,3896.0,,,,False,649.0,3896.0,3898.0,3898.0,649.0,-2.0,Sprint,86.53333333333333,96.19038096190381,240.4,37.42577962577962,23.255294111850308,1:04:56,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560528,132155,Ronan Cordeiro,Brazil,DNF,,00:10:39,00:01:05,00:00:00,00:00:00,00:00:00,DNF,PTS5 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,,,,,,,,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560528,69962,Chris Hammer,United States,FINISH,3.0,00:12:12,00:01:20,00:29:55,00:00:57,00:16:26,01:00:50,PTS5 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,732.0,80.0,1795.0,57.0,986.0,3650.0,,,,False,732.0,3650.0,3650.0,3650.0,732.0,0.0,Sprint,97.6,89.74102589741027,197.2,40.11543175487465,24.926565944958217,1:00:50,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171973,576175,56517,Martin Schulz,Germany,FINISH,1.0,00:10:28,00:00:54,00:28:29,00:00:49,00:16:12,00:56:52,PTS5 Men,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,628.0,54.0,1709.0,49.0,972.0,3412.0,,,,False,628.0,3412.0,3412.0,3412.0,628.0,0.0,Sprint,83.73333333333333,85.45,195.18072289156626,42.12990052662376,26.17829842012873,56:52,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171982,576223,132155,Ronan Cordeiro,Brazil,FINISH,1.0,00:10:42,00:00:47,00:31:14,00:01:10,00:16:53,01:00:48,PTS5 Men,sprint,2023 World Triathlon Para Cup A Coruna,2023-07-01,World Para Cup,750.0,20800.0,5000.0,642.0,47.0,1874.0,70.0,1013.0,3648.0,,,,False,642.0,3648.0,3646.0,3646.0,642.0,2.0,Sprint,85.6,90.09615384615384,202.6,39.957310565635005,24.82831402347919,1:00:48,2023 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
171982,576223,96432,Bence Mocsari,Hungary,FINISH,4.0,00:10:50,00:00:50,00:31:39,00:01:26,00:18:21,01:03:08,PTS5 Men,sprint,2023 World Triathlon Para Cup A Coruna,2023-07-01,World Para Cup,750.0,20800.0,5000.0,650.0,50.0,1899.0,86.0,1101.0,3788.0,,,,False,650.0,3788.0,3786.0,3786.0,650.0,2.0,Sprint,86.66666666666667,91.29807692307692,220.2,39.43127962085308,24.5014536492891,1:03:08,2023 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
174960,589241,72818,Stefan Daniel,Canada,FINISH,1.0,00:10:40,00:00:39,00:28:26,00:00:43,00:16:56,00:57:24,PTS5 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,640.0,39.0,1706.0,43.0,1016.0,3444.0,,,,False,640.0,3444.0,3444.0,3444.0,640.0,0.0,Sprint,82.79430789133247,84.45544554455446,203.2,42.626025791324736,26.486576271981242,57:24,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589241,69962,Chris Hammer,United States,FINISH,2.0,00:12:04,00:00:31,00:28:07,00:00:43,00:16:12,00:57:37,PTS5 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,724.0,31.0,1687.0,43.0,972.0,3457.0,,,,False,724.0,3457.0,3457.0,3457.0,724.0,0.0,Sprint,93.66106080206985,83.51485148514851,194.4,43.10610551274452,26.784883888559577,57:37,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589241,132155,Ronan Cordeiro,Brazil,FINISH,3.0,00:11:22,00:00:28,00:28:42,00:00:31,00:16:39,00:57:42,PTS5 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,682.0,28.0,1722.0,31.0,999.0,3462.0,,,,False,682.0,3462.0,3462.0,3462.0,682.0,0.0,Sprint,88.22768434670115,85.24752475247526,199.8,42.22996515679442,26.240475679442508,57:42,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
