event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,bike_speed_kmh_outlier,t1time_sec_outlier,bike_pace_s_per_km_outlier,t2time_sec_outlier,swim_pace_s_per_100m_outlier,runtime_sec_outlier,run_pace_s_per_km_outlier,swimtime_sec_outlier
171981,576239,180049,Henry Urand,Great Britain,FINISH,6.0,00:21:23,00:01:30,00:38:25,00:01:45,00:23:15,01:26:19,PTS3 Men,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,1283.0,90.0,2305.0,105.0,1395.0,5179.0,,,,False,1283.0,5179.0,5178.0,5178.0,1283.0,1.0,Sprint,171.06666666666666,115.25,279.0,31.236442516268983,19.409419522776574,1:26:19,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171981,576239,133006,Nico Van Der Burgt,Netherlands,FINISH,2.0,00:12:29,00:01:22,00:39:09,00:01:48,00:22:57,01:17:48,PTS3 Men,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,749.0,82.0,2349.0,108.0,1377.0,4668.0,,,,False,749.0,4668.0,4665.0,4665.0,749.0,3.0,Sprint,99.86666666666666,117.45,275.4,30.651340996168585,19.04585440613027,1:17:48,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171982,576220,58157,Daniel Molina,Spain,FINISH,1.0,00:11:20,00:01:26,00:37:11,00:02:22,00:20:55,01:13:16,PTS3 Men,sprint,2023 World Triathlon Para Cup A Coruna,2023-07-01,World Para Cup,750.0,20800.0,5000.0,680.0,86.0,2231.0,142.0,1255.0,4396.0,,,,False,680.0,4396.0,4394.0,4394.0,680.0,2.0,Sprint,90.66666666666667,107.25961538461539,251.0,33.56342447333035,20.855338628417755,1:13:16,2023 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
174960,589239,141553,Cedric Denuziere,France,FINISH,2.0,00:13:34,00:00:48,00:33:38,00:01:35,00:23:04,01:12:39,PTS3 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,814.0,48.0,2018.0,95.0,1384.0,4359.0,,,,False,814.0,4359.0,4359.0,4359.0,814.0,0.0,Sprint,105.30401034928848,99.9009900990099,276.8,36.03567888999009,22.39152582755203,1:12:39,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589239,133006,Nico Van Der Burgt,Netherlands,FINISH,1.0,00:12:32,00:00:41,00:34:20,00:01:11,00:22:42,01:11:26,PTS3 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,752.0,41.0,2060.0,71.0,1362.0,4286.0,,,,False,752.0,4286.0,4286.0,4286.0,752.0,0.0,Sprint,97.28331177231564,101.98019801980199,272.4,35.30097087378641,21.934999572815535,1:11:26,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
171976,582592,141553,Cedric Denuziere,France,FINISH,4.0,00:13:00,00:02:34,n/a,n/a,00:22:17,00:37:51,PTS3 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,780.0,154.0,,,1337.0,2271.0,,,,False,780.0,2271.0,,,780.0,,Sprint,104.0,,267.4,,,37:51,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582592,58157,Daniel Molina,Spain,FINISH,1.0,00:10:28,00:01:51,n/a,n/a,00:20:11,00:32:29,PTS3 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,628.0,111.0,,,1211.0,1949.0,,,,False,628.0,1949.0,,,628.0,,Sprint,83.73333333333333,,242.2,,,32:29,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582592,98284,Max Gelhaar,Germany,FINISH,3.0,00:11:41,00:01:53,n/a,n/a,00:22:08,00:35:41,PTS3 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,701.0,113.0,,,1328.0,2141.0,,,,False,701.0,2141.0,,,701.0,,Sprint,93.46666666666667,,265.6,,,35:41,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582592,133006,Nico Van Der Burgt,Netherlands,FINISH,2.0,00:10:36,00:02:04,n/a,n/a,00:21:46,00:34:26,PTS3 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,636.0,124.0,,,1306.0,2066.0,,,,False,636.0,2066.0,,,636.0,,Sprint,84.8,,261.2,,,34:26,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582592,180049,Henry Urand,Great Britain,FINISH,8.0,00:19:47,00:01:30,n/a,n/a,00:20:16,00:41:33,PTS3 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,1187.0,90.0,,,1216.0,2493.0,,,,False,1187.0,2493.0,,,1187.0,,Sprint,158.26666666666668,,243.2,,,41:33,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
