event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,bike_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier,biketime_sec_outlier,bike_speed_kmh_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier
171981,576237,122421,Jules Ribstein,France,FINISH,2.0,00:11:12,00:01:20,00:38:14,00:02:12,00:24:35,01:17:35,PTS2 Men,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,672.0,80.0,2294.0,132.0,1475.0,4655.0,,,,False,672.0,4655.0,4653.0,4653.0,672.0,2.0,Sprint,89.6,114.7,295.0,31.38622493461203,19.502489973844813,1:17:35,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171982,576218,91519,Lionel Morales,Spain,FINISH,1.0,00:11:51,00:01:36,00:36:47,00:02:31,00:20:51,01:13:38,PTS2 Men,sprint,2023 World Triathlon Para Cup A Coruna,2023-07-01,World Para Cup,750.0,20800.0,5000.0,711.0,96.0,2207.0,151.0,1251.0,4418.0,,,,False,711.0,4418.0,4416.0,4416.0,711.0,2.0,Sprint,94.8,106.10576923076923,250.2,33.92840960579973,21.082129805165383,1:13:38,2023 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
174960,589238,160752,Wim De Paepe,Belgium,FINISH,3.0,00:11:28,00:01:07,00:32:56,00:01:05,00:22:28,01:09:04,PTS2 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,688.0,67.0,1976.0,65.0,1348.0,4144.0,,,,False,688.0,4144.0,4144.0,4144.0,688.0,0.0,Sprint,89.0038809831824,97.82178217821783,269.6,36.80161943319838,22.867459068825912,1:09:04,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589238,91519,Lionel Morales,Spain,FINISH,4.0,00:11:29,00:01:17,00:33:38,00:01:29,00:21:26,01:09:19,PTS2 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,689.0,77.0,2018.0,89.0,1286.0,4159.0,,,,False,689.0,4159.0,4159.0,4159.0,689.0,0.0,Sprint,89.13324708926261,99.9009900990099,257.2,36.03567888999009,22.39152582755203,1:09:19,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589238,22133,Mohamed Lahna,United States,FINISH,2.0,00:12:29,00:00:58,00:32:33,00:01:06,00:21:45,01:08:51,PTS2 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,749.0,58.0,1953.0,66.0,1305.0,4131.0,,,,False,749.0,4131.0,4131.0,4131.0,749.0,0.0,Sprint,96.89521345407503,96.68316831683168,261.0,37.235023041474655,23.13676350230415,1:08:51,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589238,106588,Maurits Morsink,Netherlands,FINISH,1.0,00:17:31,00:00:52,00:30:58,00:00:43,00:18:18,01:08:22,PTS2 Men,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,1051.0,52.0,1858.0,43.0,1098.0,4102.0,,,,False,1051.0,4102.0,4102.0,4102.0,1051.0,0.0,Sprint,135.96377749029753,91.98019801980199,219.6,39.13885898815931,24.31975194833154,1:08:22,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
173647,582572,22133,Mohamed Lahna,United States,FINISH,1.0,00:12:43,00:02:39,00:32:14,00:01:13,00:22:25,01:11:10,PTS2 Men,sprint,2023 World Triathlon Para Cup Long Beach,2023-07-14,World Para Cup,750.0,20000.0,5000.0,763.0,159.0,1934.0,73.0,1345.0,4270.0,,,,False,763.0,4270.0,4274.0,4274.0,763.0,-4.0,Sprint,101.73333333333333,96.7,269.0,37.22854188210962,23.132736297828334,1:11:10,2023 World Triathlon Para Cup Long Beach,False,False,False,False,False,False,False,False,False
171976,582591,91519,Lionel Morales,Spain,FINISH,3.0,00:10:40,00:02:03,n/a,n/a,00:21:13,00:33:55,PTS2 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,640.0,123.0,,,1273.0,2035.0,,,,False,640.0,2035.0,,,640.0,,Sprint,85.33333333333333,,254.6,,,33:55,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582591,60932,Mark Barr,United States,FINISH,2.0,00:10:12,00:02:21,n/a,n/a,00:21:12,00:33:44,PTS2 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,612.0,141.0,,,1272.0,2024.0,,,,False,612.0,2024.0,,,612.0,,Sprint,81.6,,254.4,,,33:44,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582591,106588,Maurits Morsink,Netherlands,FINISH,6.0,00:16:03,00:02:01,n/a,n/a,00:18:13,00:36:16,PTS2 Men,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,963.0,121.0,,,1093.0,2176.0,,,,False,963.0,2176.0,,,963.0,,Sprint,128.4,,218.6,,,36:16,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
