event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,swimtime_sec_outlier,bike_speed_kmh_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,t1time_sec_outlier,runtime_sec_outlier,bike_pace_s_per_km_outlier
171973,576178,132337,Leanne Taylor H1,Canada,FINISH,5.0,00:14:00,00:02:09,00:37:48,00:01:06,00:16:13,01:11:16,PTWC Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,5000.0,840.0,129.0,2268.0,66.0,973.0,4276.0,H1,,,False,840.0,4276.0,4276.0,4276.0,840.0,0.0,Sprint,112.0,113.4,194.6,31.746031746031747,19.726063492063492,1:11:16,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
174960,589244,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:14:41,00:01:29,00:35:51,00:01:01,00:13:29,01:06:31,PTWC Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,881.0,89.0,2151.0,61.0,809.0,3991.0,H1,,,False,881.0,3991.0,3991.0,3991.0,881.0,0.0,Sprint,113.97153945666234,106.48514851485149,161.8,33.80753138075313,21.007019581589955,1:06:31,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589244,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:16,00:01:40,00:34:26,00:01:14,00:13:56,01:03:32,PTWC Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,736.0,100.0,2066.0,74.0,836.0,3812.0,H1,,,False,736.0,3812.0,3812.0,3812.0,736.0,0.0,Sprint,95.21345407503233,102.27722772277228,167.2,35.198451113262344,21.871296766698936,1:03:32,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589244,132337,Leanne Taylor H1,Canada,FINISH,4.0,00:13:07,00:01:28,00:38:49,00:01:09,00:13:47,01:08:20,PTWC Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,787.0,88.0,2329.0,69.0,827.0,4100.0,H1,,,False,787.0,4100.0,4100.0,4100.0,787.0,0.0,Sprint,101.81112548512289,115.2970297029703,165.4,31.223701159295835,19.401502413052814,1:08:20,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
174960,589244,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:46,00:01:30,00:35:43,00:00:44,00:12:50,01:06:11,PTWC Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,706.0,90.0,2143.0,44.0,770.0,3971.0,H2,,,False,706.0,3971.0,3753.0,3753.0,706.0,218.0,Sprint,91.33247089262613,106.0891089108911,154.0,33.93373775081661,21.08544055996267,1:06:11,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
171976,582597,122515,Lauren Parker H1,Australia,DNS,,00:00:00,00:00:00,n/a,n/a,00:00:00,DNS,PTWC Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,,,,,,,H1,,,False,,,,,,,Sprint,,,,,,,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582597,124233,Jessica Ferreira H1,Brazil,FINISH,2.0,00:13:42,00:02:54,n/a,n/a,00:15:44,00:32:20,PTWC Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,822.0,174.0,,,944.0,1940.0,H1,,,False,822.0,1940.0,,,822.0,,Sprint,109.6,,188.8,,,32:20,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
172816,582639,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:07:34,00:00:52,00:39:31,00:00:55,00:14:40,01:03:31,PTWC Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,454.0,52.0,2371.0,55.0,880.0,3811.0,H1,,,False,454.0,3811.0,3812.0,3812.0,454.0,-1.0,Sprint,,128.16216216216216,,28.089413749472794,17.45394711092366,1:03:31,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582639,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:06:56,00:00:39,00:35:29,00:00:45,00:13:42,01:00:44,PTWC Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,416.0,39.0,2129.0,45.0,822.0,3644.0,H2,,,False,416.0,3644.0,3451.0,3451.0,416.0,193.0,Sprint,,115.08108108108108,,31.282292155941757,19.437909159229687,1:00:44,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582639,132337,Leanne Taylor H1,Canada,FINISH,4.0,00:08:13,00:00:48,00:40:00,00:01:01,00:14:29,01:04:30,PTWC Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,493.0,48.0,2400.0,61.0,869.0,3870.0,H1,,,False,493.0,3870.0,3871.0,3871.0,493.0,-1.0,Sprint,,129.72972972972974,,27.75,17.24304525,1:04:30,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582639,122515,Lauren Parker H1,Australia,FINISH,1.0,00:07:35,00:00:52,00:34:59,00:01:01,00:14:47,00:59:14,PTWC Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,455.0,52.0,2099.0,61.0,887.0,3554.0,H1,,,False,455.0,3554.0,3554.0,3554.0,455.0,0.0,Sprint,,113.45945945945945,,31.72939494997618,19.715725869461647,59:14,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
173746,582721,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:13:57,00:03:10,00:40:00,00:01:27,00:15:16,01:13:48,PTWC Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,837.0,190.0,2400.0,87.0,916.0,4428.0,H1,,,False,837.0,4428.0,4430.0,4430.0,837.0,-2.0,Sprint,111.6,122.44897959183673,183.2,29.400000000000002,18.2683074,1:13:48,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582721,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:12:05,00:02:33,00:37:59,00:01:15,00:13:51,01:11:19,PTWC Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,725.0,153.0,2279.0,75.0,831.0,4279.0,H2,,,False,725.0,4279.0,4063.0,4063.0,725.0,216.0,Sprint,96.66666666666667,116.27551020408163,166.2,30.96094778411584,19.238235085563844,1:11:19,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582721,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:29,00:03:29,00:38:06,00:01:47,00:14:50,01:10:38,PTWC Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,749.0,209.0,2286.0,107.0,890.0,4238.0,H1,,,False,749.0,4238.0,4241.0,4241.0,749.0,-3.0,Sprint,99.86666666666666,116.63265306122449,178.0,30.866141732283467,19.17932535433071,1:10:38,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582721,132337,Leanne Taylor H1,Canada,FINISH,5.0,00:13:07,00:02:56,00:42:26,00:01:40,00:16:34,01:16:40,PTWC Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,787.0,176.0,2546.0,100.0,994.0,4600.0,H1,,,False,787.0,4600.0,4603.0,4603.0,787.0,-3.0,Sprint,104.93333333333334,129.89795918367346,198.8,27.71406127258445,17.22071396700707,1:16:40,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
175735,596442,124233,Jessica Ferreira H1,Brazil,FINISH,1.0,00:14:49,00:00:57,00:37:05,00:01:00,00:13:30,01:07:21,PTWC Women,sprint,2023 World Triathlon Para Cup Alhandra,2023-10-07,World Para Cup,750.0,19950.0,4930.0,889.0,57.0,2225.0,60.0,810.0,4041.0,H1,,,False,889.0,4041.0,4041.0,4041.0,889.0,0.0,Sprint,118.53333333333333,111.52882205513785,164.3002028397566,32.27865168539326,20.057018076404493,1:07:21,2023 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
