event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,t2time_sec_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,bike_pace_s_per_km_outlier,biketime_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier
183781,630328,114644,Veronica Yoko Plebani,Italy,FINISH,4.0,00:13:45,00:02:43,00:39:30,00:01:12,00:22:50,01:20:00,PTS2 Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,4980.0,825.0,163.0,2370.0,72.0,1370.0,4800.0,,,,False,825.0,4800.0,4800.0,4800.0,825.0,0.0,Sprint,,118.5,275.1004016064257,30.37974683544304,18.877093670886076,1:20:00,2024 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
183781,630328,166026,Anu Francis,Australia,FINISH,2.0,00:13:43,00:02:32,00:34:17,00:01:08,00:23:04,01:14:44,PTS2 Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,4980.0,823.0,152.0,2057.0,68.0,1384.0,4484.0,,,,False,823.0,4484.0,4484.0,4484.0,823.0,0.0,Sprint,,102.85,277.91164658634534,35.00243072435586,21.749495381623724,1:14:44,2024 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
185649,632007,114644,Veronica Yoko Plebani,Italy,FINISH,1.0,00:14:45,00:00:51,00:45:44,00:01:03,00:25:12,01:27:38,PTS2 Women,sprint,2024 World Triathlon Para Cup Taranto,2024-06-08,World Para Cup,750.0,21000.0,5000.0,885.0,51.0,2744.0,63.0,1512.0,5258.0,,,,False,885.0,5258.0,5255.0,5255.0,885.0,3.0,Sprint,118.0,130.66666666666666,302.4,27.551020408163264,17.119405102040815,1:27:38,2024 World Triathlon Para Cup Taranto,False,False,False,False,False,False,False,False,False
183783,634043,60938,Allysa Seely,United States,FINISH,1.0,00:00:00,00:14:31,00:45:57,00:01:22,00:22:21,01:24:13,PTS2 Women,sprint,2024 World Triathlon Para Cup Besancon,2024-06-15,World Para Cup,750.0,21340.0,5000.0,,,2757.0,82.0,1341.0,5053.0,,,,False,,5053.0,,,,,Sprint,,129.19400187441425,268.2,27.86507072905332,17.31454686398259,1:24:13,2024 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,True
183784,634140,60938,Allysa Seely,United States,FINISH,1.0,00:12:23,00:02:11,00:42:46,00:00:48,00:22:02,01:20:12,PTS2 Women,sprint,2024 World Triathlon Para Series Swansea,2024-06-22,World Para Series,750.0,19480.0,5000.0,743.0,131.0,2566.0,48.0,1322.0,4812.0,,,,False,743.0,4812.0,4810.0,4810.0,743.0,2.0,Sprint,99.06666666666666,131.72484599589322,264.4,27.329696024941544,16.981880548713953,1:20:12,2024 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
183784,634140,114644,Veronica Yoko Plebani,Italy,FINISH,2.0,00:13:10,00:03:02,00:43:15,00:01:14,00:21:32,01:22:15,PTS2 Women,sprint,2024 World Triathlon Para Series Swansea,2024-06-22,World Para Series,750.0,19480.0,5000.0,790.0,182.0,2595.0,74.0,1292.0,4935.0,,,,False,790.0,4935.0,4933.0,4933.0,790.0,2.0,Sprint,105.33333333333333,133.2135523613963,258.4,27.0242774566474,16.79210230751445,1:22:15,2024 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
183785,634242,60937,Hailey Danz,United States,FINISH,2.0,00:12:23,00:01:37,00:36:34,00:01:16,00:24:30,01:16:20,PTS2 Women,sprint,2024 World Triathlon Para Series Montreal,2024-06-29,World Para Series,760.0,20200.0,5000.0,743.0,97.0,2194.0,76.0,1470.0,4580.0,,,,False,743.0,4580.0,4580.0,4580.0,743.0,0.0,Sprint,97.76315789473685,108.61386138613862,294.0,33.14494074749316,20.59530497721057,1:16:20,2024 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
183785,634242,60938,Allysa Seely,United States,FINISH,1.0,00:13:09,00:00:51,00:38:25,00:00:47,00:21:08,01:14:20,PTS2 Women,sprint,2024 World Triathlon Para Series Montreal,2024-06-29,World Para Series,760.0,20200.0,5000.0,789.0,51.0,2305.0,47.0,1268.0,4460.0,,,,False,789.0,4460.0,4460.0,4460.0,789.0,0.0,Sprint,103.81578947368422,114.10891089108911,253.6,31.54880694143167,19.60351371800434,1:14:20,2024 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
183785,634242,114644,Veronica Yoko Plebani,Italy,FINISH,3.0,00:14:11,00:11:12,00:38:40,00:00:57,00:22:00,01:17:00,PTS2 Women,sprint,2024 World Triathlon Para Series Montreal,2024-06-29,World Para Series,760.0,20200.0,5000.0,851.0,,2320.0,57.0,1320.0,4620.0,,,,False,851.0,4620.0,5220.0,5220.0,851.0,-600.0,Sprint,111.97368421052632,114.85148514851485,264.0,31.344827586206893,19.476766862068963,1:17:00,2024 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,True
163894,658397,60937,Hailey Danz,United States,FINISH,1.0,00:13:11,00:01:26,00:36:06,00:00:59,00:22:49,01:14:31,PTS2 Women,sprint,Paris 2024 Paralympic Games,2024-09-02,Major Games,750.0,20000.0,5000.0,791.0,86.0,2166.0,59.0,1369.0,4471.0,,,,False,791.0,4471.0,4471.0,4471.0,791.0,0.0,Sprint,105.46666666666667,108.3,273.8,33.2409972299169,20.654991689750695,1:14:31,Paris 2024 Paralympic Games,False,False,False,False,False,False,False,False,False
